source_file,type,condition_id,adapter_path,num_samples,exact_match,fuzzy_exact_match,macro_f1,balance_due_imputed,date_anchor_errors,tier_temporal_active_fields,tier_temporal_macro_f1,tier_temporal_macro_precision,tier_temporal_macro_recall,tier_temporal_mean_cer,tier_financial_active_fields,tier_financial_macro_f1,tier_financial_macro_precision,tier_financial_macro_recall,tier_financial_mean_cer,tier_clinical_active_fields,tier_clinical_macro_f1,tier_clinical_macro_precision,tier_clinical_macro_recall,tier_clinical_mean_cer,tier_clinical_note,domain_Tier_A_Invoice_Style_num_samples,domain_Tier_B_Edge_Cases___CORD_num_samples,active_field_count,active_fields_sample,group
clean_result_raw\eval_condition_clean_data_clean_data-epoch-1.0.json,eval_condition,clean_data_clean_data-epoch-1.0,C:\Users\Jacob\Documents\FineTune\clean_data\paige-lora-condition-clean_data-epoch-1.0,226,0.0,0.323,0.5627,89,4,['date'],0.745,0.7434,0.7467,,"['total_amount', 'balance_due']",0.4715,0.4832,0.463,,[],,,,,No GT coverage in this test set for this tier,176,0,3,date;total_amount;balance_due,2:1
clean_result_raw\eval_condition_clean_data_clean_data-epoch-1.5.json,eval_condition,clean_data_clean_data-epoch-1.5,C:\Users\Jacob\Documents\FineTune\clean_data\paige-lora-condition-clean_data-epoch-1.5,226,0.0,0.3805,0.5748,93,13,['date'],0.7095,0.708,0.7111,,"['total_amount', 'balance_due']",0.5074,0.5168,0.502,,[],,,,,No GT coverage in this test set for this tier,176,0,3,date;total_amount;balance_due,2:1
clean_result_raw\eval_condition_clean_data_clean_data-epoch-2.0.json,eval_condition,clean_data_clean_data-epoch-2.0,C:\Users\Jacob\Documents\FineTune\clean_data\paige-lora-condition-clean_data-epoch-2.0,226,0.0,0.354,0.5586,86,11,['date'],0.7273,0.7257,0.7289,,"['total_amount', 'balance_due']",0.4743,0.5,0.453,,[],,,,,No GT coverage in this test set for this tier,176,0,3,date;total_amount;balance_due,2:1
clean_result_raw\eval_condition_clean_data_clean_data-epoch-2.5.json,eval_condition,clean_data_clean_data-epoch-2.5,C:\Users\Jacob\Documents\FineTune\clean_data\paige-lora-condition-clean_data-epoch-2.5,226,0.0,0.3982,0.5679,95,15,['date'],0.714,0.7124,0.7156,,"['total_amount', 'balance_due']",0.4949,0.5177,0.4774,,[],,,,,No GT coverage in this test set for this tier,176,0,3,date;total_amount;balance_due,2:1
clean_result_raw\eval_condition_clean_data_clean_data-epoch-3.0.json,eval_condition,clean_data_clean_data-epoch-3.0,C:\Users\Jacob\Documents\FineTune\clean_data\paige-lora-condition-clean_data-epoch-3.0,226,0.0,0.3628,0.5593,89,16,['date'],0.7095,0.708,0.7111,,"['total_amount', 'balance_due']",0.4842,0.5,0.4719,,[],,,,,No GT coverage in this test set for this tier,176,0,3,date;total_amount;balance_due,2:1
clean_result_raw\eval_condition_clean_data_clean_data.json,eval_condition,clean_data_clean_data,C:\Users\Jacob\Documents\FineTune\clean_data\paige-lora-condition-clean_data,226,0.0,0.3628,0.5593,89,16,['date'],0.7095,0.708,0.7111,,"['total_amount', 'balance_due']",0.4842,0.5,0.4719,,[],,,,,No GT coverage in this test set for this tier,176,0,3,date;total_amount;balance_due,2:1
clean_result_dual\eval_condition_L8_N2.json,eval_condition,L8_N2,composed_L8_N2,226,0.0,0.2434,0.5678,1,9,['date'],0.8027,0.8009,0.8044,,"['total_amount', 'balance_due']",0.4503,0.4567,0.4441,,[],,,,,No GT coverage in this test set for this tier,176,0,3,date;total_amount;balance_due,2nd_adapter_eval
clean_result_dual\eval_condition_L9_N0.json,eval_condition,L9_N0,composed_L9_N0,226,0.0,0.3894,0.6206,13,11,['date'],0.7894,0.7876,0.7911,,"['total_amount', 'balance_due']",0.5363,0.5489,0.5242,,[],,,,,No GT coverage in this test set for this tier,176,0,3,date;total_amount;balance_due,2nd_adapter_eval
clean_result_dual\eval_condition_L9_N1.json,eval_condition,L9_N1,composed_L9_N1,226,0.0,0.3894,0.6206,13,11,['date'],0.7894,0.7876,0.7911,,"['total_amount', 'balance_due']",0.5363,0.5489,0.5242,,[],,,,,No GT coverage in this test set for this tier,176,0,3,date;total_amount;balance_due,2nd_adapter_eval
eval_condition_FineTune_zero_shot.json,eval_condition,FineTune_zero_shot,unsloth/qwen3-vl-4b-instruct-unsloth-bnb-4bit,226,0.0,0.354,0.3292,78,0,['date'],0.8931,0.9592,0.8356,,"['total_amount', 'balance_due']",0.6899,0.7493,0.646,,[],,,,,No GT coverage in this test set for this tier,176,0,9,date;total_amount;balance_due;patient_name;philhealth_number;diagnosis_code;procedure_code;service_origin;philhealth_benefit,other
